epoch,step,test_loss,train_loss_epoch,val_loss
0,1,,,4.05764102935791
0,1,,3.946157693862915,
1,3,,,3.396751642227173
1,3,,3.6862599849700928,
2,5,,,3.402712821960449
2,5,,3.2097058296203613,
3,7,,,3.408820867538452
3,7,,3.205242395401001,
4,9,,,3.392174482345581
4,9,,3.1920969486236572,
5,11,,,3.3990728855133057
5,11,,3.1704938411712646,
6,13,,,3.403329372406006
6,13,,3.1729607582092285,
7,15,,,5.952130317687988
7,15,,3.709228515625,
8,17,,,5.952130317687988
8,17,,4.71400785446167,
9,19,,,3.4047739505767822
9,19,,4.229739189147949,
10,20,3.4047739505767822,,
